accounting_error,adverse_selection_cost,average_quoted_spread_ticks,executable_mark_adjustment,fees,fill_count,fill_rate,filled_quantity_rate,final_inventory,final_pnl,final_wealth,inventory_mark_to_market,inventory_rms,liquidation_count,liquidation_pnl,max_abs_inventory,max_drawdown,max_drawdown_pct,mean_abs_inventory,pnl_per_second,pnl_per_traded_unit,quote_count,quote_to_trade_ratio,seed,spread_capture,strategy,time_at_inventory_limit,total_traded_quantity,turnover_notional_ticks
-2.91039969901874e-11,3.469446951953614e-18,4.72,3.08500794354849e-11,0.11000000000000003,21.0,0.105,0.0525,0.0,0.33000000000174623,100000.33,2.42861286636753e-17,2.0576274798347596,1.0,-0.02,4.0,0.28999999999359716,2.8999860800027877e-06,1.4776119402985075,0.016500000000087313,0.015714285714368868,200.0,9.523809523809524,5.0,0.4600000000000002,inventory_skew,0.0,21.0,209675
0.0,0.01,28.275,-2.328307685539599e-12,0.01,2.0,0.01,0.005,0.0,0.059999999997671694,100000.06,0.0,0.07053456158585983,0.0,0.0,1.0,0.0,0.0,0.004975124378109453,0.0029999999998835845,0.029999999998835847,200.0,100.0,5.0,0.07,avellaneda_stoikov,0.0,2.0,19953
-3.492484079714586e-12,-0.01,6.265,-8.731123463112667e-12,0.08,15.0,0.075,0.0375,0.0,0.4399999999877764,100000.43999999999,0.08999999999999991,1.1611454286469296,1.0,-0.02,2.0,0.13999999999941792,1.3999930700284828e-06,0.9303482587064676,0.02199999999938882,0.029333333332518426,200.0,13.333333333333334,5.0,0.4500000000000001,microstructure_adaptive,0.0,15.0,149789
1.9790724614665578e-11,0.019999999999999997,4,-8.731133871453522e-12,0.13000000000000003,25.0,0.125,0.0625,0.0,-0.9099999999889405,99999.09000000001,-1.2600000000000002,2.551947846439122,1.0,-0.02,5.0,1.0950000000011642,1.0950000000011642e-05,2.2039800995024876,-0.045499999999447024,-0.03639999999955762,200.0,8.0,6.0,0.5000000000000001,naive_symmetric,0.0,25.0,250788
6.402989249920665e-12,0.030000000000000006,4.78,1.7462319784611324e-11,0.11000000000000001,20.0,0.1,0.05,0.0,-0.48999999997613486,99999.51000000002,-0.7900000000000003,1.6130685198562533,1.0,-0.04,3.0,0.694999999992433,6.94999999992433e-06,1.2686567164179106,-0.024499999998806744,-0.024499999998806744,200.0,10.0,6.0,0.45000000000000007,inventory_skew,0.0,20.0,200612
6.9848848927023255e-12,0.0,28.355,-3.4924667324798264e-12,0.02,3.0,0.015,0.0075,0.0,0.16000000000349246,100000.16,0.06999999999999999,0.5037175233040658,1.0,-0.02,2.0,0.04000000000814907,3.9999918008317157e-07,0.14427860696517414,0.008000000000174623,0.05333333333449749,200.0,66.66666666666667,6.0,0.13,avellaneda_stoikov,0.0,3.0,30134
3.4927061243195112e-12,0.04000000000000001,6.33,5.820784826360281e-12,0.08,15.0,0.075,0.0375,0.0,-0.4899999999906868,99999.51000000001,-0.8400000000000003,1.8010499977866696,1.0,-0.02,3.0,0.7399999999906868,7.399999629906886e-06,1.5820895522388059,-0.02449999999953434,-0.032666666666045785,200.0,13.333333333333334,6.0,0.45000000000000007,microstructure_adaptive,0.0,15.0,150427
-9.89541781848402e-12,0.02,4,1.9208544477233858e-11,0.14000000000000004,27.0,0.135,0.0675,0.0,0.5100000000093132,100000.51000000001,0.13000000000000003,1.619225292312247,1.0,-0.02,3.0,0.2699999999895226,2.6999842049876267e-06,1.2985074626865671,0.02550000000046566,0.01888888888923382,200.0,7.407407407407407,7.0,0.5400000000000001,naive_symmetric,0.0,27.0,270067
-2.852196256952766e-11,0.02,4.705,1.3969859991025402e-11,0.13000000000000003,25.0,0.125,0.0625,0.0,0.4999999999854481,100000.49999999999,0.1100000000000001,1.1718081448591355,1.0,-0.02,2.0,0.15000000000873115,1.4999915251351946e-06,0.9253731343283582,0.024999999999272403,0.019999999999417924,200.0,8.0,7.0,0.5400000000000001,inventory_skew,0.0,25.0,250051
6.402843533148683e-12,0.01,27.195,-5.23869142510236e-12,0.01,1.0,0.005,0.0025,0.0,-0.029999999998835847,99999.97,-0.04,0.23393667553251238,1.0,-0.02,1.0,0.05000000000291038,4.99999825029165e-07,0.05472636815920398,-0.0014999999999417923,-0.029999999998835847,200.0,200.0,7.0,0.04,avellaneda_stoikov,0.0,1.0,10002
-3.4925395908658174e-12,-0.019999999999999983,6.31,-1.2805683596850415e-11,0.1,17.0,0.085,0.0425,0.0,0.41999999998370185,100000.41999999998,0.09000000000000011,2.1054300797926113,1.0,-0.06,4.0,0.3249999999970896,3.2499761126464686e-06,1.6666666666666667,0.020999999999185094,0.024705882351982462,200.0,11.764705882352942,7.0,0.49,microstructure_adaptive,0.0,17.0,170012
1.455136011685454e-11,-0.060000000000000005,4,-1.8626433728741176e-11,0.16000000000000006,32.0,0.16,0.08,0.0,0.9799999999959255,100000.98,0.5000000000000003,2.004968951757717,0.0,0.0,4.0,0.20500000000174623,2.049979910214342e-06,1.5820895522388059,0.048999999999796276,0.03062499999987267,200.0,6.25,8.0,0.6400000000000002,naive_symmetric,0.0,32.0,320086
-2.5611734955077736e-11,-0.06000000000000001,4.66,3.026801032035564e-11,0.15000000000000005,29.0,0.145,0.0725,0.0,0.6300000000046566,100000.63,0.16000000000000011,1.2458887614751766,1.0,-0.02,2.0,0.14499999998952262,1.4499891249767889e-06,0.9552238805970149,0.03150000000023283,0.021724137931195056,200.0,6.896551724137931,8.0,0.6400000000000002,inventory_skew,0.0,29.0,290070
-5.238698363996264e-12,-0.02,27.105,-2.328307685539599e-12,0.01,2.0,0.01,0.005,0.0,0.069999999992433,100000.06999999999,0.01,0.07053456158585983,0.0,0.0,1.0,0.0,0.0,0.004975124378109453,0.0034999999996216504,0.0349999999962165,200.0,100.0,8.0,0.07,avellaneda_stoikov,0.0,2.0,19974
-2.444766611375826e-11,-0.08,6.2,4.3655780379570075e-11,0.10000000000000002,20.0,0.1,0.05,0.0,0.6300000000192085,100000.63000000002,0.13000000000000012,1.0485716415973632,0.0,0.0,2.0,0.13999999999941792,1.3999911800497447e-06,0.7412935323383084,0.031500000000960426,0.031500000000960426,200.0,10.0,8.0,0.6000000000000003,microstructure_adaptive,0.0,20.0,200085
-6.926748064017829e-11,-0.15,4,7.625206022154885e-11,0.19000000000000006,34.0,0.17,0.085,0.0,0.5700000000069849,100000.57,0.16000000000000003,2.3361745317475897,1.0,-0.08,4.0,0.5800000000017462,5.799953890384033e-06,1.9253731343283582,0.028500000000349246,0.01676470588255838,200.0,5.882352941176471,9.0,0.6800000000000003,naive_symmetric,0.0,34.0,339848
-3.2596592092204446e-11,-0.12000000000000001,4.795,1.280572002604341e-11,0.17000000000000004,30.0,0.15,0.075,0.0,1.2599999999802094,100001.25999999998,0.8400000000000001,1.7001609522870451,1.0,-0.08,5.0,0.3299999999871943,3.299958420395847e-06,1.3383084577114428,0.06299999999901047,0.041999999999340315,200.0,6.666666666666667,9.0,0.6700000000000003,inventory_skew,0.0,30.0,299867
1.7462142842816775e-12,-0.01,27.915,2.4447215085654506e-11,0.030000000000000002,5.0,0.025,0.0125,0.0,0.20000000002619345,100000.20000000003,0.07999999999999999,0.22304986837273527,1.0,-0.02,1.0,0.020000000004074536,1.9999960004154521e-07,0.04975124378109453,0.010000000001309673,0.04000000000523869,200.0,40.0,9.0,0.17,avellaneda_stoikov,0.0,5.0,50043
-2.5029534000964304e-11,-0.11,6.28,1.7462337131846084e-11,0.15000000000000002,26.0,0.13,0.065,0.0,1.069999999992433,100001.06999999999,0.5199999999999999,1.279381069266702,1.0,-0.08,4.0,0.22000000000116415,2.199976460263517e-06,0.9104477611940298,0.05349999999962165,0.041153846153555114,200.0,7.6923076923076925,9.0,0.7800000000000005,microstructure_adaptive,0.0,26.0,259866
